Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Vitus;Mythique 27 VRS Mountain Bike 2021;1499,99;Mountain;------;M, L, S, XL;Shimano Deore M5100 Shadow Plus, Long Cage, 11 Speed;11 Speed;X-fusion Sweep Boost Rc 27.5” Rc Damper, 34mm Stanchions, 140mm Travel, Tapered Alloy Steerer, Boost Hub Spacing – 110mm X 15mm Thru Axle 46mm Offset;Shimano MT401
Vitus;Mythique 29 VRS Mountain Bike 2021;1499,99;Mountain;------;XL, M, S, L;Shimano Deore M5100 Shadow Plus, Long Cage, 11 Speed;11 Speed;X-Fusion Slide Boost RC 29”, RC damper, 34mm stanchions, 140mm travel, tapered alloy steerer, Boost hub spacing – 110mm x 15mm thru axle 44mm offset;Shimano MT401
Nukeproof;Scout 275 Comp Bike (Deore12) 2021;1549,99;Mountain;13.3kgs/29.3lbs (Tubeless);M, XL, S, L;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 140mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6SZ);Shimano Deore M6120 4 pot hydraulic disc brakes, Resin Pads
Nukeproof;Scout 290 Comp Bike (Deore12) 2021;1549,99;Mountain;13.47kgs/29.6lbs (Tubeless);M, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 130mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6SY);Shimano Deore M6120 4 pot brake, Resin Pads
Vitus;Sentier 27 VRX Mountain Bike 2021;1599,99;Mountain;TBC;S, L, XL, M;Shimano Xt M8100 12 Speed Shadow Plus, Long Cage, 12 Speed;12 Speed;Fox 34 Float Performance Series 27” Grip Damper, 34mm Stanchions, 130mm Travel, Tapered Alloy Steerer, Boost Hub Spacing – 110mm X 15mm Qr Axle;Shimano SLX M7100 180mm
Vitus;Sentier 29 VRX Mountain Bike 2021;1599,99;Mountain;TBC;L, M, XL;Shimano XT M8100 12 speed, Shadow plus, long cage, 12 speed;12 Speed;FOX 34 Float Performance Series 29”, Grip damper, 34mm stanchions, 130mm travel, tapered alloy steerer, Boost hub spacing – 110mm x 15mm QR axle;Shimano SLX M7100, 180mm
Vitus;Mythique 27 VRX Mountain Bike 2021;1649,99;Mountain;------;L, S, M, XL;Shimano SLX M7100 Shadow plus, long cage, 12-Speed;12 Speed;Marzocchi Bomber Z2 27.5” Rail damper, Float air spring, 34mm stanchions, 140mm travel,  tapered alloy steerer, Boost hub spacing – 110mm x 15mm QR axle 44mm rake;Shimano MT501
Vitus;Mythique 29 VRX Mountain Bike 2021;1649,99;Mountain;------;XL, S, M, L;Shimano SLX M7100 Shadow plus, long cage, 12-Speed;12 Speed;Marzocchi Bomber Z2 29” Rail damper, Float air spring, 34mm stanchions, 140mm travel,  tapered alloy steerer, Boost hub spacing – 110mm x 15mm QR axle 44mm rake;Shimano MT501
Cube;Reaction C:62 Pro Hardtail Bike 2021;1699;Mountain;11.6kg;"43.5cm (17""), 53cm (21""), 48cm (19""), 59cm (23"")";Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox Judy Gold RL Air, 100mm, PopLoc, 15x110mm;Shimano XT BR-M8100, Hydr. Disc Brake (180/160)
Vitus;Rapide 29 CRS Mountain Bike 2021;1799,99;Mountain;;M, L, S, XL;Shimano SLX Mt7100 Shadow Plus, Long Cage, 12 Speed;12 Speed;RockShox SID Sl 29” Debonair, Charger 2 Rl Damper, 32mm Stanchions, 100mm Travel, Boost Hub Spacing – 110mm X 15mm Maxle Stealth Axle. RockShox Oneloc Sprint;Shimano Deore MT6100
